EnsEMBL_Gene_ID	21PT
ENSG00000158019	76.4018529066
ENSG00000158022	1.5221792047
ENSG00000158023	8.5557282156
ENSG00000158042	1025.7954031035
ENSG00000067900	35.9616130428
ENSG00000158050	38.4024975367
ENSG00000158055	3.3156330467
ENSG00000158062	66.0764156638
ENSG00000158077	0.2793820560
ENSG00000158079	17.0688455261
ENSG00000158089	382.0717011103
ENSG00000158092	42.1494090476
ENSG00000158104	6.2927456764
ENSG00000158106	75.5430152042
ENSG00000158109	160.6739681516
ENSG00000067955	156.9842947384
ENSG00000158113	0.0000000000
ENSG00000158122	3.8000863378
ENSG00000158125	58.0752040606
ENSG00000158156	49.6482003978
ENSG00000158158	56.1059945857
ENSG00000158161	30.0470629023
ENSG00000158163	25.1821328490
ENSG00000158164	0.0000000000
ENSG00000158169	31.5313804789
ENSG00000158185	0.0000000000
ENSG00000067992	19.5661448480
ENSG00000158186	3.0508988329
ENSG00000158195	322.4356585935
ENSG00000158201	34.3031807726
ENSG00000158220	2.9874014175
ENSG00000158234	46.2415622286
ENSG00000158246	105.1602921221
ENSG00000158258	0.1617196760
ENSG00000158270	0.0000000000
ENSG00000158286	15.8478383040
ENSG00000158290	37.5705325101
ENSG00000068001	601.5288183977
ENSG00000158292	145.3037952083
ENSG00000158296	0.0000000000
ENSG00000158301	6.8148015355
ENSG00000158315	4.0171068823
ENSG00000158321	21.0754975807
ENSG00000158352	0.0552842661
ENSG00000158373	201.0349555901
ENSG00000158402	26.6369143047
ENSG00000158406	81.6191576300
ENSG00000158411	47.1379780420
ENSG00000068024	53.6544961069
ENSG00000158417	126.4774569802
ENSG00000158423	3.3504137138
ENSG00000158427	1.2070546940
ENSG00000158428	0.1355229984
ENSG00000158435	126.5482247938
ENSG00000158445	7.4234738321
ENSG00000158457	24.6954081636
ENSG00000158458	0.4610626319
ENSG00000158467	24.2194374393
ENSG00000158470	170.3321502906
ENSG00000005801	17.4894987865
ENSG00000068028	77.9298880695
ENSG00000158473	0.7581545787
ENSG00000158477	0.0000000000
ENSG00000158480	68.9480110512
ENSG00000158481	0.0000000000
ENSG00000158482	2.5173258270
ENSG00000158483	70.8702253443
ENSG00000158485	0.0000000000
ENSG00000158486	0.1478118535
ENSG00000158488	0.0000000000
ENSG00000158497	0.0000000000
ENSG00000068078	3.9799865382
ENSG00000158516	0.0000000000
ENSG00000158517	0.0000000000
ENSG00000158525	0.6019688329
ENSG00000158526	174.6630105824
ENSG00000158527	0.1418811683
ENSG00000158528	11.8103695441
ENSG00000158545	377.7521822856
ENSG00000158552	83.2531250545
ENSG00000158553	0.6617781876
ENSG00000158555	32.6054554371
ENSG00000068079	33.2987330438
ENSG00000158560	1.3098005665
ENSG00000158571	0.4135289183
ENSG00000158578	0.6101249731
ENSG00000158604	913.5427383508
ENSG00000158615	144.3355361251
ENSG00000158623	28.0873912167
ENSG00000158636	61.5481011675
ENSG00000158639	0.0000000000
ENSG00000158669	184.1525444541
ENSG00000158683	0.0398092221
ENSG00000068097	113.5257579721
ENSG00000158691	1.4964602456
ENSG00000158710	4708.2121907087
ENSG00000158711	47.4822953502
ENSG00000158714	1.7382068495
ENSG00000158715	202.5104686972
ENSG00000158716	797.8988619757
ENSG00000158717	125.2797156254
ENSG00000158731	1.0779867862
ENSG00000158747	495.8220906486
ENSG00000158748	0.0000000000
ENSG00000068120	903.9628246428
ENSG00000158764	0.0000000000
ENSG00000158769	366.4578073919
