EnsEMBL_Gene_ID	MDAMB453
ENSG00000155099	0.0000000000
ENSG00000155100	19.6744312956
ENSG00000155111	20.7050826937
ENSG00000155115	242.8144281312
ENSG00000155130	86.0852782795
ENSG00000155158	6.1387200737
ENSG00000155189	12.9621203436
ENSG00000155229	360.5721010372
ENSG00000066926	88.1956722798
ENSG00000155249	0.0000000000
ENSG00000155252	0.9197983449
ENSG00000155254	96.1605853683
ENSG00000155256	79.8362871029
ENSG00000155265	3.2545537200
ENSG00000155269	0.0000000000
ENSG00000155275	17.3016017676
ENSG00000155282	0.0000000000
ENSG00000155287	204.0444622414
ENSG00000155304	31.8100272341
ENSG00000066933	11.5159691484
ENSG00000155307	0.2796417587
ENSG00000155313	13.6032372704
ENSG00000155319	0.0000000000
ENSG00000155324	33.9774383575
ENSG00000155329	17.5561987501
ENSG00000155330	38.3134803595
ENSG00000155352	165.1107664342
ENSG00000155363	265.6339698527
ENSG00000155366	1041.6811403403
ENSG00000155367	15.8921632525
ENSG00000067048	0.0741344115
ENSG00000155368	2346.9688928166
ENSG00000155372	0.0000000000
ENSG00000155380	5.1856411372
ENSG00000155393	43.4870052082
ENSG00000155428	2.3772401036
ENSG00000155438	64.6650019686
ENSG00000155463	632.4827532837
ENSG00000155465	0.9293257915
ENSG00000155495	0.1634074856
ENSG00000155506	560.4211766839
ENSG00000067057	355.5049367777
ENSG00000155508	118.3615032244
ENSG00000155511	0.0000000000
ENSG00000155530	0.3885466880
ENSG00000155542	19.5343929294
ENSG00000155545	16.6621752227
ENSG00000155561	98.3590981795
ENSG00000155592	11.9143463257
ENSG00000155621	6.2851875612
ENSG00000155622	0.0000000000
ENSG00000155629	0.0000000000
ENSG00000067064	195.6959197621
ENSG00000155636	30.7392897477
ENSG00000155640	26.9113087535
ENSG00000155657	0.2013298833
ENSG00000155659	0.0000000000
ENSG00000155660	928.8970005291
ENSG00000155666	37.8209622810
ENSG00000155714	0.2496512254
ENSG00000155719	0.0000000000
ENSG00000155729	53.2738826311
ENSG00000155744	23.8011966685
ENSG00000067066	6.4431416339
ENSG00000155749	0.3228919845
ENSG00000155754	0.0000000000
ENSG00000155755	19.5481694494
ENSG00000155760	11.7879889771
ENSG00000155761	0.0000000000
ENSG00000155792	66.7387796002
ENSG00000155816	0.0000000000
ENSG00000155827	54.9195201484
