EnsEMBL_Gene_ID	ZR7530
ENSG00000154930	47.5389075455
ENSG00000154945	175.8862503213
ENSG00000154957	12.2925060524
ENSG00000154975	0.0000000000
ENSG00000154978	180.8965757552
ENSG00000154997	2.0985500883
ENSG00000154999	157.4269821905
ENSG00000155008	49.9300823399
ENSG00000155011	0.0000000000
ENSG00000066855	102.0163852735
ENSG00000155016	3.7934005080
ENSG00000155026	0.0692893667
ENSG00000155034	66.3091454910
ENSG00000155052	0.0000000000
ENSG00000155066	327.0670004451
ENSG00000155070	1.7718901791
ENSG00000155085	18.9050700114
ENSG00000155087	0.0000000000
ENSG00000155090	72.0878493140
ENSG00000155093	4.6743112863
ENSG00000005483	113.4922517021
ENSG00000066923	1.9608581693
ENSG00000155096	744.4547032019
ENSG00000155097	176.2641728799
ENSG00000155099	6.1350460330
ENSG00000155100	14.3837961403
ENSG00000155111	40.3609097106
ENSG00000155115	332.8148720079
ENSG00000155130	92.1106131078
ENSG00000155158	18.6076354771
ENSG00000155189	16.5457588138
ENSG00000155229	162.4627612991
ENSG00000066926	75.7646361269
ENSG00000155249	0.0000000000
ENSG00000155252	2.0279901844
ENSG00000155254	5.4001869536
ENSG00000155256	63.8603840408
ENSG00000155265	32.2729628864
ENSG00000155269	0.2242138532
ENSG00000155275	19.2947350889
ENSG00000155282	0.2808180373
ENSG00000155287	84.4429378339
ENSG00000155304	53.6927743324
ENSG00000066933	107.9364336200
ENSG00000155307	0.5320629846
ENSG00000155313	21.9782095497
ENSG00000155319	0.0000000000
ENSG00000155324	78.5881376967
ENSG00000155329	45.3720083871
ENSG00000155330	32.5143300160
ENSG00000155352	23.5907461323
ENSG00000155363	76.8681472655
ENSG00000155366	1001.8975315687
ENSG00000155367	32.4839321507
ENSG00000067048	0.0000000000
ENSG00000155368	1327.8180016904
ENSG00000155372	0.0000000000
ENSG00000155380	2.3349587380
ENSG00000155393	56.4702850590
ENSG00000155428	0.1517677360
ENSG00000155438	75.3414209022
ENSG00000155463	371.6453136758
ENSG00000155465	0.8464562992
ENSG00000155495	0.3129677659
ENSG00000155506	372.9842507062
ENSG00000067057	349.3853180229
ENSG00000155508	117.6621064150
ENSG00000155511	0.0000000000
ENSG00000155530	0.2469679683
ENSG00000155542	17.0799228922
ENSG00000155545	31.7056531700
ENSG00000155561	104.8433024663
ENSG00000155592	16.7267099321
ENSG00000155621	10.6766989356
ENSG00000155622	0.0000000000
ENSG00000155629	0.7036077898
ENSG00000067064	736.2275434615
ENSG00000155636	44.9856885299
ENSG00000155640	38.3414828144
ENSG00000155657	0.4134996320
ENSG00000155659	0.0000000000
ENSG00000155660	346.9920911489
ENSG00000155666	8.1778373588
ENSG00000155714	0.1660232368
ENSG00000155719	0.0000000000
ENSG00000155729	38.3204452045
ENSG00000155744	32.6094677201
ENSG00000067066	37.2786786693
ENSG00000155749	0.1030703322
ENSG00000155754	0.1450148358
ENSG00000155755	17.8113249664
ENSG00000155760	20.2360571434
ENSG00000155761	0.0313950696
ENSG00000155792	1489.4624539922
ENSG00000155816	0.0000000000
ENSG00000155827	112.9145154245
ENSG00000155833	0.0000000000
ENSG00000155846	3.7624637861
ENSG00000067082	95.4098601576
ENSG00000155849	17.7350092091
ENSG00000155850	26.2172637956
ENSG00000155858	8.1490154138
ENSG00000155868	76.8218951081
ENSG00000155875	0.0000000000
ENSG00000155876	253.2938092020
ENSG00000155886	0.0000000000
ENSG00000155890	0.0000000000
ENSG00000155893	47.9163824968
ENSG00000155897	0.1495744983
ENSG00000067113	32.9530078804
ENSG00000155903	28.4536445669
ENSG00000155906	34.8914455484
ENSG00000155918	0.0000000000
ENSG00000155926	5.4215114402
ENSG00000155957	299.8236923406
ENSG00000155959	130.2051334114
ENSG00000155961	15.2038212352
ENSG00000155962	4.3532214350
ENSG00000155966	0.0321362228
ENSG00000155970	0.0000000000
ENSG00000067141	154.0504528630
ENSG00000155974	28.8659112481
ENSG00000155975	58.2700140414
ENSG00000155980	2.2698180690
ENSG00000155984	209.2524016847
ENSG00000156006	1.8445832922
ENSG00000156009	0.0000000000
