EnsEMBL_Gene_ID	BT483
ENSG00000157093	0.0000000000
ENSG00000067560	1796.3210530383
ENSG00000157103	0.0000000000
ENSG00000157106	64.5118923427
ENSG00000157107	35.4069878733
ENSG00000157110	74.9470763624
ENSG00000157111	4.7665368004
ENSG00000157119	0.0000000000
ENSG00000157131	0.0000000000
ENSG00000157150	1.4123851394
ENSG00000157152	0.0000000000
ENSG00000157168	0.0000000000
ENSG00000067596	278.9183184097
ENSG00000157181	86.1831372947
ENSG00000157184	104.2796381493
ENSG00000157191	113.0243438615
ENSG00000157193	102.7798830097
ENSG00000157211	0.5308411990
ENSG00000157212	108.4325787006
ENSG00000157214	2.4294843147
ENSG00000157216	64.1249899517
ENSG00000157219	0.0000000000
ENSG00000157224	76.3806290975
ENSG00000067601	23.5599065226
ENSG00000157227	0.8626918785
ENSG00000157240	50.5210744620
ENSG00000157259	95.3556511762
ENSG00000157303	407.2737293625
ENSG00000157306	81.6321944503
ENSG00000157312	26.5030406724
ENSG00000157315	2.1196152711
ENSG00000157322	0.1830463179
ENSG00000157326	94.0908320242
ENSG00000157330	1.1258846175
ENSG00000067606	109.2895179361
ENSG00000157335	0.0000000000
ENSG00000157341	0.1214719879
ENSG00000157343	0.4897032859
ENSG00000157344	86.0957391868
ENSG00000157349	167.4493522590
ENSG00000157350	9.5812585652
ENSG00000157353	114.5146198283
ENSG00000157358	0.0000000000
ENSG00000157368	0.8334001853
ENSG00000157379	88.6612754789
ENSG00000067646	0.0000000000
ENSG00000157388	43.0275304251
ENSG00000157399	0.0000000000
ENSG00000157404	0.0743293997
ENSG00000157423	5.0651945195
ENSG00000157426	25.4173127546
ENSG00000157429	9.2198506063
ENSG00000157445	0.3619336108
ENSG00000157450	64.1170559617
ENSG00000157456	292.3910792584
ENSG00000157470	3.4304176450
ENSG00000067704	934.0475238340
ENSG00000157483	38.5270800595
ENSG00000157500	61.9300407058
ENSG00000157502	37.6238807457
ENSG00000157510	3.9087710348
ENSG00000157514	236.2277825237
ENSG00000157538	113.6558321060
ENSG00000157540	100.6125862450
ENSG00000157542	0.3001016885
ENSG00000157551	0.1669185390
ENSG00000157554	2.0762453736
ENSG00000067715	300.8452250187
ENSG00000157557	31.1799894942
ENSG00000157570	0.2515191910
ENSG00000157576	0.6790349814
ENSG00000157578	3.4859827952
ENSG00000157593	582.3066225040
ENSG00000157600	143.7771417522
ENSG00000157601	858.5152303859
ENSG00000157606	0.0000000000
ENSG00000157613	55.6705239275
ENSG00000157617	94.7727959555
ENSG00000005700	53.0303908054
ENSG00000067798	0.3085591497
ENSG00000157625	65.6115058769
ENSG00000157637	200.2422428972
ENSG00000157653	1.8460947675
